LocationID,Borough,Zone,service_zone,areaID,area_name
47,Bronx,Claremont/Bathgate,Boro Zone,Bx1,South Bronx
59,Bronx,Crotona Park,Boro Zone,Bx1,South Bronx
60,Bronx,Crotona Park East,Boro Zone,Bx1,South Bronx
69,Bronx,East Concourse/Concourse Village,Boro Zone,Bx1,South Bronx
78,Bronx,East Tremont,Boro Zone,Bx1,South Bronx
94,Bronx,Fordham South,Boro Zone,Bx1,South Bronx
119,Bronx,Highbridge,Boro Zone,Bx1,South Bronx
126,Bronx,Hunts Point,Boro Zone,Bx1,South Bronx
147,Bronx,Longwood,Boro Zone,Bx1,South Bronx
159,Bronx,Melrose South,Boro Zone,Bx1,South Bronx
167,Bronx,Morrisania/Melrose,Boro Zone,Bx1,South Bronx
168,Bronx,Mott Haven/Port Morris,Boro Zone,Bx1,South Bronx
169,Bronx,Mount Hope,Boro Zone,Bx1,South Bronx
199,Bronx,Rikers Island,Boro Zone,Bx1,South Bronx
235,Bronx,University Heights/Morris Heights,Boro Zone,Bx1,South Bronx
247,Bronx,West Concourse,Boro Zone,Bx1,South Bronx
58,Bronx,Country Club,Boro Zone,Bx2,SE Bronx
182,Bronx,Parkchester,Boro Zone,Bx2,SE Bronx
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,Bx2,SE Bronx
212,Bronx,Soundview/Bruckner,Boro Zone,Bx2,SE Bronx
213,Bronx,Soundview/Castle Hill,Boro Zone,Bx2,SE Bronx
248,Bronx,West Farms/Bronx River,Boro Zone,Bx2,SE Bronx
250,Bronx,Westchester Village/Unionport,Boro Zone,Bx2,SE Bronx
18,Bronx,Bedford Park,Boro Zone,Bx3,West Bronx
20,Bronx,Belmont,Boro Zone,Bx3,West Bronx
31,Bronx,Bronx Park,Boro Zone,Bx3,West Bronx
136,Bronx,Kingsbridge Heights,Boro Zone,Bx3,West Bronx
174,Bronx,Norwood,Boro Zone,Bx3,West Bronx
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,Bx3,West Bronx
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,Bx3,West Bronx
240,Bronx,Van Cortlandt Park,Boro Zone,Bx3,West Bronx
241,Bronx,Van Cortlandt Village,Boro Zone,Bx3,West Bronx
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Bx4,East Bronx
32,Bronx,Bronxdale,Boro Zone,Bx4,East Bronx
46,Bronx,City Island,Boro Zone,Bx4,East Bronx
51,Bronx,Co-Op City,Boro Zone,Bx4,East Bronx
81,Bronx,Eastchester,Boro Zone,Bx4,East Bronx
183,Bronx,Pelham Bay,Boro Zone,Bx4,East Bronx
184,Bronx,Pelham Bay Park,Boro Zone,Bx4,East Bronx
185,Bronx,Pelham Parkway,Boro Zone,Bx4,East Bronx
242,Bronx,Van Nest/Morris Park,Boro Zone,Bx4,East Bronx
254,Bronx,Williamsbridge/Olinville,Boro Zone,Bx4,East Bronx
259,Bronx,Woodlawn/Wakefield,Boro Zone,Bx4,East Bronx
17,Brooklyn,Bedford,Boro Zone,B1,Williamsburg
36,Brooklyn,Bushwick North,Boro Zone,B1,Williamsburg
37,Brooklyn,Bushwick South,Boro Zone,B1,Williamsburg
80,Brooklyn,East Williamsburg,Boro Zone,B1,Williamsburg
112,Brooklyn,Greenpoint,Boro Zone,B1,Williamsburg
217,Brooklyn,South Williamsburg,Boro Zone,B1,Williamsburg
225,Brooklyn,Stuyvesant Heights,Boro Zone,B1,Williamsburg
255,Brooklyn,Williamsburg (North Side),Boro Zone,B1,Williamsburg
256,Brooklyn,Williamsburg (South Side),Boro Zone,B1,Williamsburg
35,Brooklyn,Brownsville,Boro Zone,B2,East New York & Flatlands
39,Brooklyn,Canarsie,Boro Zone,B2,East New York & Flatlands
63,Brooklyn,Cypress Hills,Boro Zone,B2,East New York & Flatlands
76,Brooklyn,East New York,Boro Zone,B2,East New York & Flatlands
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,B2,East New York & Flatlands
91,Brooklyn,Flatlands,Boro Zone,B2,East New York & Flatlands
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,B2,East New York & Flatlands
